ef,query_id,oracle_rank,candidate_id,pq_rank,gt_relevant,candidate_count
32,77,4,764604,5,1,398
32,77,5,97836,4,1,398
32,77,6,351596,6,1,398
32,77,7,733749,8,1,398
32,77,8,376753,7,1,398
32,77,9,58742,9,1,398
32,77,10,151423,10,1,398
32,78,1,774352,1,1,647
32,78,2,852461,2,1,647
32,78,3,365052,3,1,647
32,78,4,307964,4,1,647
32,78,5,411750,6,1,647
32,78,6,913167,5,1,647
32,78,7,289968,8,1,647
32,78,8,535796,7,1,647
32,78,9,59985,10,1,647
32,78,10,68038,9,1,647
32,79,1,913930,1,1,567
32,79,2,379767,2,1,567
32,79,3,247094,3,1,567
32,79,4,290194,4,1,567
32,79,5,44742,6,1,567
32,79,6,568119,5,1,567
32,79,7,118825,12,1,567
32,79,8,108232,7,1,567
32,79,9,977574,10,1,567
32,79,10,312228,8,0,567
32,80,1,103641,1,1,474
32,80,2,967023,2,1,474
32,80,3,148856,3,1,474
32,80,4,174999,4,1,474
32,80,5,720022,6,1,474
32,80,6,586150,5,1,474
32,80,7,209966,7,1,474
32,80,8,433856,8,1,474
32,80,9,106127,9,1,474
32,80,10,456952,10,1,474
32,81,1,3917,1,1,656
32,81,2,488163,2,1,656
32,81,3,574941,3,1,656
32,81,4,845136,4,1,656
32,81,5,923839,5,1,656
32,81,6,10088,8,1,656
32,81,7,890834,7,1,656
32,81,8,278009,6,1,656
32,81,9,407125,9,1,656
32,81,10,647649,10,1,656
32,82,1,814820,1,1,637
32,82,2,879757,2,1,637
32,82,3,789913,3,1,637
32,82,4,627300,4,1,637
32,82,5,421725,5,1,637
32,82,6,322331,7,1,637
32,82,7,374382,6,1,637
32,82,8,81148,9,1,637
32,82,9,175012,8,1,637
32,82,10,191497,10,1,637
32,83,1,409416,1,1,1043
32,83,2,448268,2,1,1043
32,83,3,538799,3,1,1043
32,83,4,414351,4,1,1043
32,83,5,121193,9,1,1043
32,83,6,341085,5,1,1043
32,83,7,344774,7,1,1043
32,83,8,467535,6,1,1043
32,83,9,136680,8,0,1043
32,83,10,257711,20,0,1043
32,84,1,134764,1,1,558
32,84,2,183948,2,1,558
32,84,3,450486,3,1,558
32,84,4,910458,4,1,558
32,84,5,816828,9,1,558
32,84,6,30916,7,1,558
32,84,7,236255,5,1,558
32,84,8,921829,6,1,558
32,84,9,851476,10,1,558
32,84,10,36035,8,1,558
32,85,1,904983,1,1,982
32,85,2,546859,2,1,982
32,85,3,546930,4,1,982
32,85,4,21419,3,1,982
32,85,5,725118,6,1,982
32,85,6,118501,5,1,982
32,85,7,136354,7,1,982
32,85,8,248034,9,1,982
32,85,9,915337,11,1,982
32,85,10,779066,13,1,982
32,86,1,540048,1,1,818
32,86,2,837474,2,1,818
32,86,3,60872,3,1,818
32,86,4,95402,4,1,818
32,86,5,395780,5,1,818
32,86,6,792076,6,1,818
32,86,7,322243,7,1,818
32,86,8,70542,8,1,818
32,86,9,476236,12,1,818
32,86,10,585570,10,1,818
32,87,1,480720,1,1,652
32,87,2,380070,2,1,652
32,87,3,918680,4,1,652
32,87,4,564896,3,1,652
32,87,5,567813,5,1,652
32,87,6,313340,6,1,652
32,87,7,611538,7,1,652
32,87,8,762672,8,1,652
32,87,9,298961,10,1,652
32,87,10,813895,14,1,652
32,88,1,24767,1,1,623
32,88,2,29172,2,1,623
32,88,3,890183,3,1,623
32,88,4,808249,4,1,623
32,88,5,857509,5,1,623
32,88,6,7218,6,1,623
32,88,7,110685,7,1,623
32,88,8,509697,11,1,623
32,88,9,95560,15,1,623
32,88,10,316244,17,0,623
32,89,1,533966,1,1,777
32,89,2,63930,2,1,777
32,89,3,846023,3,1,777
32,89,4,307417,5,1,777
32,89,5,78656,10,1,777
32,89,6,691382,7,1,777
32,89,7,969757,9,1,777
32,89,8,65308,6,1,777
32,89,9,612395,4,1,777
32,89,10,39558,8,0,777
32,90,1,123011,1,1,677
32,90,2,593643,4,1,677
32,90,3,908951,2,1,677
32,90,4,384941,3,1,677
32,90,5,588064,6,1,677
32,90,6,314801,7,1,677
32,90,7,558863,5,1,677
32,90,8,932373,9,1,677
